INSTRUMENT_ID;INSTRUMENT_TYPE;TRADE_CODE
5995;Облигация субфедеральная;RU000A0JUR46
9555;Облигация субфедеральная;RU000A0JWUV3
10544;Облигация субфедеральная;RU000A0ZYBD3
11394;Облигация субфедеральная;RU000A0ZZPB4
10744;Облигация субфедеральная;RU000A0ZYML3
9692;Облигация субфедеральная;RU000A0JX0B9
9768;Облигация корпоративная;RU000A0JX3M0
9991;Облигация корпоративная;RU000A0JXRM6
10024;Облигация корпоративная;RU000A0JXS26
10707;Облигация корпоративная;RU000A0ZYJT2
10738;Облигация корпоративная;RU000A0ZYLX0
10753;Облигация корпоративная;RU000A0ZYL89
11388;Облигация корпоративная;RU000A0ZZNW5
11274;Облигация корпоративная;RU000A0ZZCH9
11489;Облигация корпоративная;RU000A0ZZV86
9563;Облигация биржевая;RU000A0JWUD1
9995;Облигация биржевая;RU000A0JXRS3
10921;Облигация биржевая;RU000A0ZZ083
4975;Облигация биржевая;RU000A0JVUX1
4976;Облигация биржевая;RU000A0JW9G0
4977;Облигация биржевая;RU000A0JWG05
4978;Облигация биржевая;RU000A0JWPL4
9708;Облигация корпоративная;RU000A0JX0L8
8570;Облигация корпоративная;RU000A0JV2C5
9561;Облигация корпоративная;RU000A0JWU80
9252;Облигация корпоративная;RU000A0JW316
9175;Облигация корпоративная;RU000A0JVZJ9
9337;Облигация корпоративная;RU000A0JWGW0
9565;Облигация корпоративная;RU000A0JWVB3
9908;Облигация корпоративная;RU000A0JXP29
10693;Облигация корпоративная;RU000A0ZYHU4
9867;Облигация корпоративная;RU000A0JXN62
10690;Облигация корпоративная;RU000A0ZYH51
11439;Облигация корпоративная;RU000A0ZZR58
4926;Облигация корпоративная;RU000A0JTR72
4927;Облигация корпоративная;RU000A0JTR80
4915;Облигация корпоративная;RU000A0JTQB9
9986;Облигация биржевая;RU000A0JXRX3
5267;Облигация биржевая;RU000A0JVP05
5270;Облигация биржевая;RU000A0JVRN8
8900;Облигация корпоративная;RU000A0JVF98
8937;Облигация корпоративная;RU000A0JVLA8
9558;Облигация корпоративная;RU000A0JWU31
9559;Облигация корпоративная;RU000A0JWU23
10542;Облигация корпоративная;RU000A0ZYBA9
10679;Облигация корпоративная;
10680;Облигация корпоративная;
739;Пай закрытого ПИФа;RU000A0JNUN9
150;Акция обыкновенная;BSPB
5201;Акции иностранного эмитента;POLY
8933;Облигация субфедеральная;RU000A0JVL33
9396;Облигация субфедеральная;RU000A0JWKB6
5313;Облигация субфедеральная;RU000A0JU286
5974;Облигация субфедеральная;RU000A0JUQB7
10053;Облигация субфедеральная;RU000A0JXTW1
779;Облигация субфедеральная;RU000A0JNYN1
5234;Облигация субфедеральная;RU000A0JTZK1
5409;Облигация субфедеральная;RU000A0JU674
6147;Облигация субфедеральная;RU000A0JUWT7
6144;Облигация субфедеральная;RU000A0JUWB5
9737;Облигация субфедеральная;RU000A0JX215
10720;Облигация субфедеральная;RU000A0ZYKW4
9712;Облигация субфедеральная;RU000A0JX0Z8
182;Акция обыкновенная;AKRN
4825;Облигация корпоративная;RU000A0JTM28
4841;Облигация корпоративная;RU000A0JTM36
4842;Облигация корпоративная;RU000A0JTM44
4843;Облигация корпоративная;RU000A0JTM51
136;Акция обыкновенная;AFKS
9894;Облигация биржевая;RU000A0JXN21
10823;Облигация биржевая;RU000A0ZYQY7
10867;Облигация биржевая;RU000A0ZYWU3
180;Акция обыкновенная;AFLT
10936;Облигация биржевая;RU000A0ZZ1H2
215;Акция обыкновенная;GAZP
3604;Облигация биржевая;RU000A0ZZER4
3619;Облигация биржевая;RU000A0ZZES2
3620;Облигация биржевая;RU000A0ZZET0
216;Акция обыкновенная;GMKN
95;Акция обыкновенная;PIKK
9831;Облигация биржевая;RU000A0JXK40
9936;Облигация биржевая;RU000A0JXQ93
10450;Облигация биржевая;RU000A0JXY44
10941;Облигация биржевая;RU000A0ZZ1M2
11003;Облигация биржевая;RU000A0ZZ3S5
11141;Облигация биржевая;RU000A0ZZAW2
11146;Облигация биржевая;RU000A0ZZBJ7
120;Акция обыкновенная;LSRG
9556;Облигация биржевая;RU000A0JWU98
9916;Облигация биржевая;RU000A0JXPM0
10548;Облигация биржевая;RU000A0ZYBV5
9027;Облигация биржевая;RU000A0JVUJ0
5775;Акция обыкновенная;DSKY
3504;Облигация биржевая;
8647;Акция обыкновенная;IRAO
123;Акция обыкновенная;MVID
9484;Облигация корпоративная;RU000A0JWN63
9486;Облигация корпоративная;RU000A0JWN89
272;Акция обыкновенная;MGNT
18;Акция обыкновенная;MAGN
1660;Акция обыкновенная;MTLR
1496;Акция привилегированная;MTLRP
283;Акция обыкновенная;MTSS
3191;Облигация корпоративная;RU000A0JR4J2
4932;Облигация биржевая;RU000A0JTTA5
9815;Облигация биржевая;RU000A0JXEV5
4933;Облигация биржевая;RU000A0JWRV9
9887;Облигация биржевая;RU000A0JXMH7
10624;Облигация биржевая;RU000A0ZYFC6
10699;Облигация биржевая;RU000A0ZYJ83
10888;Облигация биржевая;RU000A0ZYWX7
10889;Облигация биржевая;RU000A0ZYWY5
4834;Акция обыкновенная;MOEX
8808;Акция обыкновенная;UWGN
268;Акция обыкновенная;LKOH
23;Акция обыкновенная;ROSN
4526;Облигация корпоративная;RU000A0JT940
4527;Облигация корпоративная;RU000A0JT965
5164;Облигация корпоративная;RU000A0JTYL2
4956;Облигация корпоративная;RU000A0JTS06
4957;Облигация корпоративная;RU000A0JTS22
5165;Облигация корпоративная;RU000A0JTYM0
5166;Облигация корпоративная;RU000A0JTYN8
9723;Облигация биржевая;RU000A0JX132
10701;Облигация биржевая;RU000A0ZYJH7
10702;Облигация биржевая;RU000A0ZYJJ3
10732;Облигация биржевая;RU000A0ZYLG5
9946;Облигация биржевая;RU000A0JXQK2
10835;Облигация биржевая;RU000A0ZYT40
9975;Облигация биржевая;RU000A0JXR68
10882;Облигация биржевая;RU000A0ZYVU5
10448;Облигация биржевая;RU000A0JXXD3
10449;Облигация биржевая;RU000A0JXXE1
10563;Облигация биржевая;RU000A0ZYCP5
286;Акция обыкновенная;NLMK
9131;Акция обыкновенная;NKHP
302;Акция обыкновенная;PLZL
6035;Облигация биржевая;RU000A0JVMD0
6036;Облигация биржевая;RU000A0JVM99
6037;Облигация биржевая;RU000A0JVMB4
1717;Акция обыкновенная;RSTI
1718;Акция привилегированная;RSTIP
313;Акция обыкновенная;RTKM
314;Акция привилегированная;RTKMP
4232;Облигация биржевая;RU000A0JVFC6
9554;Облигация биржевая;RU000A0JWTN2
9921;Облигация биржевая;RU000A0JXPN8
10636;Облигация биржевая;RU000A0ZYG52
10899;Облигация биржевая;RU000A0ZYYE3
9162;Акция обыкновенная;SFIN
1201;Акция обыкновенная;SVAV
1186;Акция обыкновенная;SBER
1187;Акция привилегированная;SBERP
9075;Облигация корпоративная;RU000A0JVWL2
10550;Облигация биржевая;RU000A0ZYBS1
10863;Облигация биржевая;RU000A0ZYUJ0
10937;Облигация биржевая;RU000A0ZZ117
11149;Облигация биржевая;RU000A0ZZBN9
11191;Облигация биржевая;RU000A0ZZE20
4708;Облигация биржевая;RU000A0JWH46
4709;Облигация биржевая;RU000A0JXRW5
4727;Облигация биржевая;RU000A0JWUE9
195;Акция обыкновенная;CHMF
3687;Акция обыкновенная;SELG
4256;Акция привилегированная;SELGP
5202;Облигация корпоративная;RU000A0JTZ49
10891;Облигация корпоративная;RU000A0ZYX28
10892;Облигация корпоративная;RU000A0ZYWZ2
5621;Облигация биржевая;RU000A0JUFL9
5639;Облигация биржевая;RU000A0JWPA7
5642;Облигация биржевая;RU000A0ZYJR6
1183;Акция обыкновенная;TATN
1184;Акция привилегированная;TATNP
1209;Акция обыкновенная;TGKA
11000;Облигация биржевая;
5576;Облигация биржевая;RU000A0JUUG8
5840;Облигация биржевая;RU000A0JUWW1
5841;Облигация биржевая;RU000A0JUX30
5842;Облигация биржевая;RU000A0JUWA7
5843;Облигация биржевая;RU000A0JUXT5
1230;Акция привилегированная;TRNFP
2679;Облигация корпоративная;RU000A0JQCR1
10602;Облигация биржевая;RU000A0ZYDD9
10843;Облигация биржевая;RU000A0ZYUS1
10998;Облигация биржевая;RU000A0ZZ349
105;Акция обыкновенная;TRMK
141;Акция обыкновенная;HYDR
